FunctionType, TotalTime, SecurityParam, Iteration
genOCert,14012.068937,480,82
genOCert,14101.36665,480,83
genOCert,14160.364895,480,84
genOCert,14142.806908,480,85
genOCert,14112.256704,480,86
genOCert,14114.981958,480,87
genOCert,14132.515370000001,480,88
genOCert,14164.496049,480,89
genOCert,14241.196236,480,90
genOCert,14384.057821,480,91
genOCert,14184.985583,480,92
genOCert,14263.824251999999,480,93
genOCert,14058.279951999999,480,94
genOCert,13839.310088999999,480,95
genOCert,13879.026855999999,480,96
genOCert,13844.874916,480,97
genOCert,13747.524477,480,98
genOCert,13838.650380000001,480,99
genOCert,23282.184869999997,640,0
genOCert,23372.229571,640,1
genOCert,23231.253224,640,2
genOCert,22955.717483,640,3
genOCert,22804.36071,640,4
genOCert,22926.336006999998,640,5
genOCert,22833.110439,640,6
genOCert,22884.928168,640,7
genOCert,22793.142583,640,8
genOCert,23019.975781999998,640,9
genOCert,23116.544465,640,10
genOCert,23687.816136999998,640,11
genOCert,25624.563142,640,12
genOCert,23650.538823000003,640,13
genOCert,23489.364497,640,14
genOCert,24428.872668,640,15
genOCert,24099.511474,640,16
genOCert,23017.906541999997,640,17
genOCert,22950.252339,640,18
genOCert,22946.562607,640,19
genOCert,23538.062951,640,20
genOCert,23201.625078,640,21
genOCert,23511.199954,640,22
genOCert,22910.511212999998,640,23
genOCert,23093.428188,640,24
genOCert,22904.002571,640,25
genOCert,23430.279383999998,640,26
genOCert,23460.44363,640,27
genOCert,23047.397354,640,28
genOCert,23167.333297999998,640,29
genOCert,22980.146912,640,30
genOCert,22712.818348999997,640,31
genOCert,23764.286171,640,32
genOCert,23394.141851,640,33
genOCert,23107.537721,640,34
genOCert,23021.33018,640,35
genOCert,23146.817299,640,36
genOCert,23056.585156,640,37
genOCert,22971.771853,640,38
genOCert,22899.249999,640,39
genOCert,23161.30543,640,40
genOCert,22969.989678,640,41
genOCert,22874.763087000003,640,42
genOCert,22883.088064,640,43
genOCert,24305.994115,640,44
genOCert,23886.731237,640,45
genOCert,24351.366345,640,46
genOCert,23150.776642,640,47
genOCert,23701.103642,640,48
genOCert,22943.383708999998,640,49
genOCert,23147.29909,640,50
genOCert,22984.901526,640,51
genOCert,23341.706691,640,52
genOCert,23089.883265,640,53
genOCert,23069.030321,640,54
genOCert,23016.907031,640,55
genOCert,23118.357601,640,56
genOCert,23075.828897,640,57
genOCert,23037.518166,640,58
genOCert,23107.058970000002,640,59
genOCert,22941.839219999998,640,60
genOCert,23142.973059,640,61
genOCert,23182.757433,640,62
genOCert,23190.45356,640,63
genOCert,23308.801981999997,640,64
genOCert,22908.777331,640,65
genOCert,22968.318155999998,640,66
genOCert,23343.830212,640,67
genOCert,23087.865259000002,640,68
genOCert,23179.927704,640,69
genOCert,23038.218892,640,70
genOCert,22966.096995,640,71
genOCert,24212.488359000003,640,72
genOCert,24678.048124,640,73
genOCert,23353.178959,640,74
genOCert,23002.405971999997,640,75
genOCert,23106.417087,640,76
genOCert,22990.137028,640,77
genOCert,23013.124044,640,78
genOCert,22917.951451,640,79
genOCert,22897.60878,640,80
genOCert,23239.714027,640,81
genOCert,23028.27183,640,82
genOCert,23035.267095,640,83
genOCert,23340.872079,640,84
genOCert,23241.405351,640,85
genOCert,22996.938402,640,86
genOCert,22973.175301000003,640,87
genOCert,23162.722641999997,640,88
genOCert,23163.740012000002,640,89
genOCert,23157.929125,640,90
genOCert,23087.647173,640,91
genOCert,23051.871818,640,92
genOCert,23031.486709,640,93
genOCert,23248.53937,640,94
genOCert,23157.59942,640,95
genOCert,22911.187467,640,96
genOCert,23074.979685,640,97
genOCert,22937.638881000003,640,98
genOCert,23078.308305,640,99
genProof,235.777171,160,0
genProof,232.269764,160,1
genProof,235.505895,160,2
genProof,234.413202,160,3
genProof,233.398715,160,4
genProof,232.378635,160,5
genProof,234.945565,160,6
genProof,231.634724,160,7
genProof,237.579116,160,8
genProof,242.173617,160,9
genProof,236.503499,160,10
genProof,237.837104,160,11
genProof,242.27969,160,12
genProof,229.853854,160,13
genProof,235.539952,160,14
genProof,242.316146,160,15
genProof,236.795251,160,16
genProof,235.066219,160,17
genProof,232.938863,160,18
genProof,241.299862,160,19
genProof,239.163817,160,20
genProof,232.600268,160,21
genProof,236.736321,160,22
genProof,233.705447,160,23
genProof,236.779369,160,24
genProof,234.481818,160,25
genProof,236.478429,160,26
genProof,235.026066,160,27
genProof,246.506634,160,28
genProof,244.474564,160,29
genProof,233.552453,160,30
genProof,229.839395,160,31
genProof,238.736952,160,32
genProof,242.269327,160,33
genProof,233.587611,160,34
genProof,233.775687,160,35
genProof,238.066454,160,36
genProof,248.399695,160,37
genProof,231.873062,160,38
genProof,241.862214,160,39
genProof,235.122475,160,40
genProof,239.550779,160,41
genProof,241.039298,160,42
genProof,237.372484,160,43
genProof,230.375054,160,44
genProof,234.044465,160,45
genProof,233.267894,160,46
genProof,237.963777,160,47
genProof,237.420427,160,48
genProof,248.02704,160,49
genProof,242.701385,160,50
genProof,240.165183,160,51
genProof,231.070051,160,52
genProof,237.388101,160,53
genProof,233.125096,160,54
genProof,232.597626,160,55
genProof,233.818966,160,56
genProof,234.881396,160,57
genProof,244.398822,160,58
genProof,232.504537,160,59
genProof,244.021773,160,60
genProof,235.793707,160,61
genProof,239.331179,160,62
genProof,242.537547,160,63
genProof,241.198148,160,64
genProof,232.461588,160,65
genProof,235.819565,160,66
genProof,252.907029,160,67
genProof,232.502232,160,68
genProof,233.177326,160,69
genProof,234.968383,160,70
genProof,236.563876,160,71
genProof,240.776737,160,72
genProof,234.382085,160,73
genProof,234.156254,160,74
genProof,248.217638,160,75
genProof,234.514426,160,76
genProof,231.839126,160,77
genProof,238.660468,160,78
genProof,232.324646,160,79
genProof,248.019474,160,80
genProof,232.419532,160,81
genProof,235.751546,160,82
genProof,229.877672,160,83
genProof,236.892282,160,84
genProof,238.638694,160,85
genProof,234.301681,160,86
genProof,232.996742,160,87
genProof,230.207477,160,88
genProof,236.962898,160,89
genProof,238.952818,160,90
genProof,233.964284,160,91
genProof,234.587938,160,92
genProof,236.892781,160,93
genProof,235.650767,160,94
genProof,235.597231,160,95
genProof,231.061156,160,96
genProof,234.348325,160,97
genProof,242.932059,160,98
genProof,247.583896,160,99
genProof,624.910416,320,0
genProof,634.674731,320,1
genProof,630.002423,320,2
genProof,823.267059,320,3
genProof,663.801829,320,4
genProof,664.15311,320,5
genProof,630.266301,320,6
genProof,634.346965,320,7
genProof,616.362754,320,8
genProof,616.131995,320,9
genProof,616.690527,320,10
genProof,614.193709,320,11
genProof,617.783922,320,12
genProof,626.519328,320,13
genProof,616.276936,320,14
genProof,645.058634,320,15
genProof,626.143743,320,16
genProof,624.869364,320,17
genProof,622.022402,320,18
genProof,629.80191,320,19
genProof,613.266859,320,20
genProof,621.592416,320,21
genProof,619.877117,320,22
genProof,632.212682,320,23
genProof,613.921532,320,24
genProof,619.038219,320,25
genProof,622.940558,320,26
genProof,632.014318,320,27
genProof,614.786098,320,28
genProof,609.903631,320,29
genProof,640.340782,320,30
genProof,633.613636,320,31
genProof,613.410167,320,32
genProof,612.280616,320,33
genProof,632.494073,320,34
genProof,616.55551,320,35
genProof,627.41484,320,36
genProof,622.330812,320,37
genProof,618.084084,320,38
genProof,620.510999,320,39
genProof,620.022283,320,40
genProof,618.554736,320,41
genProof,614.948243,320,42
genProof,629.641794,320,43
genProof,623.326337,320,44
genProof,623.354203,320,45
genProof,613.734692,320,46
genProof,621.097099,320,47
genProof,627.502649,320,48
genProof,619.147528,320,49
genProof,613.245577,320,50
genProof,628.872612,320,51
genProof,626.845633,320,52
genProof,626.281508,320,53
genProof,617.233214,320,54
genProof,620.715955,320,55
genProof,629.203273,320,56
genProof,616.090753,320,57
genProof,620.586477,320,58
genProof,613.552688,320,59
genProof,611.336539,320,60
genProof,615.434738,320,61
genProof,614.544702,320,62
genProof,622.080119,320,63
genProof,614.471208,320,64
genProof,630.788018,320,65
genProof,609.186021,320,66
genProof,622.194583,320,67
genProof,624.042675,320,68
genProof,625.696899,320,69
genProof,621.724544,320,70
genProof,631.535924,320,71
genProof,615.35655,320,72
genProof,616.184261,320,73
genProof,627.875934,320,74
genProof,621.466191,320,75
genProof,620.953403,320,76
genProof,613.611274,320,77
genProof,629.583194,320,78
genProof,624.769845,320,79
genProof,623.680246,320,80
genProof,615.606292,320,81
genProof,616.197485,320,82
